Room Number,Square Footage,Occupancy,Quality Score,Floorplan Score,,,,,,Singles Dorms,Doubles Dorms,,Location Rating,Description
LITTLEFIELD HALL 211,232,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 212,256,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 301,231,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 305,212,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 308,234,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 309,224,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 312,256,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 401,179,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 402,207,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 407,208,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 408,226,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 409,221,2,0,0,,,,,,,,,,
LITTLEFIELD HALL 412,252,2,0,0,,,,,,,,,,
MARCY HOUSE 121,225,2,0,0,,,,,,,,,,
MARCY HOUSE 125,215,2,0,0,,,,,,,,,,
MARCY HOUSE 127,133,1,0,0,,,,,,,,,,
MARCY HOUSE 128,133,1,0,0,,,,,,,,,,
MARCY HOUSE 321,224,2,0,0,,,,,,,,,,
MARCY HOUSE 325,214,2,0,0,,,,,,,,,,
MARCY HOUSE 327,133,1,0,0,,,,,,,,,,
MARCY HOUSE 328,133,1,0,0,,,,,,,,,,
MARCY HOUSE 329,133,1,0,0,,,,,,,,,,
MARCY HOUSE 330,133,1,0,0,,,,,,,,,,
MARCY HOUSE 332,125,1,0,0,,,,,,,,,,
MARCY HOUSE 334,122,1,0,0,,,,,,,,,,
MARCY HOUSE 336,250,2,0,0,,,,,,,,,,
MIDDLE CASWELL HALL 105,215,2,0,0,,,,,,,,,,
MIDDLE CASWELL HALL 106,220,2,0,0,,,,,,,,,,
MIDDLE CASWELL HALL 107,194,2,0,0,,,,,,,,,,
MIDDLE CASWELL HALL 108,197,2,0,0,,,,,,,,,,
MIDDLE CASWELL HALL 206,239,2,0,0,,,,,,,,,,
MIDDLE CASWELL HALL 207,222,2,0,0,,,,,,,,,,
MIDDLE CASWELL HALL 208,197,2,0,0,,,,,,,,,,
MIDDLE CASWELL HALL 305,214,2,0,0,,,,,,,,,,
MIDDLE CASWELL HALL 306,241,2,0,0,,,,,,,,,,
MIDDLE CASWELL HALL 307,212,2,0,0,,,,,,,,,,
MIDDLE CASWELL HALL 308,198,2,0,0,,,,,,,,,,
MIDDLE CASWELL HALL 405,215,2,0,0,,,,,,,,,,
MIDDLE CASWELL HALL 406,233,2,0,0,,,,,,,,,,
MIDDLE CASWELL HALL 407,219,2,0,0,,,,,,,,,,
MIDDLE CASWELL HALL 408,198,2,0,0,,,,,,,,,,
MINDEN HALL 206,160,2,0,0,,,,,,,,,,
MINDEN HALL 207,352,2,0,0,,,,,,,,,,
MINDEN HALL 208,162,2,0,0,,,,,,,,,,
MINDEN HALL 209,147,1,0,0,,,,,,,,,,
MINDEN HALL 305,98,1,0,0,,,,,,,,,,
